AnimalID	MotherID	FatherID
AA4386	AA1503	AA1379
AA4387	AA2071	AA2178
AA4388	AA1652	AA2171
AA4389	AA1613	AA1363
AA4390	AA1437	AA1451
AA4391	AA1503	AA1379
AA4395	AA2244	AA2141
AA4396	AA1425	AA1337
AA4397	AA2071	AA2178
AA4398	AA1437	AA1451
AA4401	AA2071	AA2178
AA4402	AA2245	AA2100
AA4403	AA2245	AA2100
AA4404	AA1654	AA2232
AA4405	AA1503	AA1379
AA4406	AA2244	AA2141
AA4407	AA2263	AA2237
AA4408	AA2245	AA2100
AA4409	AA2263	AA2237
AA4410	AA2269	AA1356
AA4411	AA1437	AA1451
AA4412	AA2245	AA2100
AA4413	AA2263	AA2237
AA4415	AA1437	AA1451
AA4416	AA1672	AA2075
AA4417	AA2244	AA2141
AA4418	AA1672	AA2075
AA4419	AA2263	AA2237
AA4420	AA1437	AA1451
AA4421	AA2269	AA1356
AA4422	AA2143	AA2088
AA4423	AA2143	AA2088
AA4424	AA2245	AA2100
AA4425	AA1503	AA1379
AA4426	AA2263	AA2237
AA4427	AA2143	AA2088
AA4428	AA1457	AA1243
AA4429	AA2263	AA2237
AA4430	AA1457	AA1243
AA4431	AA2246	AA2193
AA4432	AA1672	AA2075
AA4436	AA2239	AA2252
AA4437	AA2244	AA2141
AA4438	AA1439	AA1459
AA4439	AA1457	AA1243
AA4440	AA1604	AA1501
AA4441	AA1672	AA2075
AA4442	AA2244	AA2141
AA4443	AA1672	AA2075
AA4444	AA1439	AA1459
AA4445	AA2244	AA2141
AA4446	AA1527	AA1219
AA4447	AA1457	AA1243
AA4448	AA2246	AA2193
AA4449	AA1439	AA1459
AA4450	AA1672	AA2075
AA4452	AA1604	AA1501
AA4453	AA1480	AA1617
AA4454	AA2120	AA2247
AA4455	AA1672	AA2075
AA4456	AA1652	AA2171
AA4457	AA1442	AA1627
AA4458	AA1604	AA1501
AA4459	AA1652	AA2171
AA4460	AA1480	AA1617
AA4461	AA1652	AA2171
AA4462	AA1442	AA1627
AA4463	AA1613	AA1363
AA4464	AA1572	AA1301
AA4465	AA1572	AA1301
AA4466	AA2156	AA2240
AA4467	AA1604	AA1501
AA4468	AA1523	AA1333
AA4469	AA1442	AA1627
AA4470	AA1613	AA1363
AA4473	AA1442	AA1627
AA4474	AA2137	AA2096
AA4475	AA1432	AA1533
AA4476	AA2156	AA2240
AA4477	AA1572	AA1301
AA4478	AA1523	AA1333
AA4479	AA2111	AA2072
AA4480	AA1442	AA1627
AA4481	AA2156	AA2240
AA4482	AA2137	AA2096
AA4483	AA1427	AA1558
AA4484	AA1503	AA1379
AA4485	AA2156	AA2240
AA4486	AA1427	AA1558
AA4487	AA1523	AA1333
AA4488	AA1503	AA1379
AA4489	AA2111	AA2072
AA4490	AA1503	AA1379
AA4491	AA1503	AA1379
AA4492	AA2156	AA2240
AA4493	AA2111	AA2072
AA4494	AA2156	AA2240
AA4495	AA2111	AA2072
AA4496	AA2111	AA2072
AA4499	AA1432	AA1533
AA4502	AA1571	AA1585
AA4503	AA1571	AA1585
AA4504	AA1432	AA1533
AA4505	AA1571	AA1585
AA4506	AA1571	AA1585
AA4507	AA1571	AA1585
